arch,lob,seed,test_lag,accident_year,n_companies,mape
gru_baseline,workers_compensation,0,9,2002,168,0.01074508807314673
gru_baseline,workers_compensation,0,8,2003,176,0.0160005771960237
gru_baseline,workers_compensation,0,7,2004,184,0.026780442549692477
gru_baseline,workers_compensation,0,6,2005,192,0.03688212070927
gru_baseline,workers_compensation,0,5,2006,203,0.05527824671263697
gru_baseline,workers_compensation,0,4,2007,214,0.06003586365942968
gru_baseline,workers_compensation,0,3,2008,225,0.09020932079402318
gru_baseline,workers_compensation,0,2,2009,232,0.127018201304843
gru_baseline,workers_compensation,0,1,2010,234,0.19263543286340867
gru_attention,workers_compensation,0,9,2002,168,0.009961408597883184
gru_attention,workers_compensation,0,8,2003,176,0.014420403960479123
gru_attention,workers_compensation,0,7,2004,184,0.026377229366027415
gru_attention,workers_compensation,0,6,2005,192,0.032940150763598096
gru_attention,workers_compensation,0,5,2006,203,0.057012498746055414
gru_attention,workers_compensation,0,4,2007,214,0.05857391225120314
gru_attention,workers_compensation,0,3,2008,225,0.09563548061389604
gru_attention,workers_compensation,0,2,2009,232,0.12622994859047423
gru_attention,workers_compensation,0,1,2010,234,0.18339517120259882
gru_attention_unmasked,workers_compensation,0,9,2002,91,0.011652057881835242
gru_attention_unmasked,workers_compensation,0,8,2003,87,0.02509529613605238
gru_attention_unmasked,workers_compensation,0,7,2004,90,0.04540230663686747
gru_attention_unmasked,workers_compensation,0,6,2005,87,0.07186487475211019
gru_attention_unmasked,workers_compensation,0,5,2006,81,0.17781169865771365
gru_attention_unmasked,workers_compensation,0,4,2007,80,0.16719071548504577
