config_idx,n_seeds,mean_mape,std_mape,min_mape,max_mape,screening_mape,learning_rate,dropout_rate,gru_units
99,6,0.08394603279829388,0.0,0.08394603279829388,0.08394603279829388,0.08394603279829388,0.0001072,0.01519,256
87,6,0.08410614360792427,0.0,0.08410614360792427,0.08410614360792427,0.08410614360792427,0.001581,0.04219,128
7,6,0.08546883552160994,0.0012191203193898507,0.08497113173534927,0.08795735445291326,0.08795735445291326,0.000132,0.02489,256
64,6,0.08607685882560075,0.0,0.08607685882560075,0.08607685882560075,0.08607685882560075,0.00375,0.01983,256
2,6,0.08660571020775615,0.001981592994174618,0.08256080044642138,0.08741469216002311,0.08256080044642138,0.0001942,0.03398,256
62,6,0.08739229316087567,0.0,0.08739229316087567,0.08739229316087567,0.08739229316087567,0.0002632,0.03172,256
61,6,0.08740139510139168,1.5202354861220293e-17,0.0874013951013917,0.0874013951013917,0.0874013951013917,0.0001766,0.01829,128
71,6,0.08772718401439071,0.0,0.08772718401439071,0.08772718401439071,0.08772718401439071,0.0001477,0.08254,128
47,6,0.08853315153611484,0.00047336613462318713,0.08756689695999784,0.08872640245133825,0.08756689695999784,0.0003036,0.0114,256
84,6,0.08888523374112302,1.5202354861220293e-17,0.08888523374112303,0.08888523374112303,0.08888523374112303,0.0002051,0.03246,256
35,6,0.08903060084722918,0.0004436012545141505,0.08812510357821403,0.08921170030103219,0.08812510357821403,0.0001333,0.01578,256
69,6,0.08907524960081015,0.0,0.08907524960081015,0.08907524960081015,0.08907524960081015,0.0002914,0.08532,256
53,6,0.08966167187240259,0.0,0.08966167187240259,0.08966167187240259,0.08966167187240259,0.0001142,0.03649,128
56,6,0.0897064746338641,0.0,0.0897064746338641,0.0897064746338641,0.0897064746338641,0.0005675,0.06306,256
68,6,0.089710041830461,0.0,0.089710041830461,0.089710041830461,0.089710041830461,0.0001031,0.03635,256
27,6,0.09190604197969726,0.004226717862706907,0.08327829027108143,0.09363159232142043,0.08327829027108143,0.0006689,0.02315,256
9,6,0.0929950663090624,0.0023971055869615445,0.08810199501937029,0.09397368056700084,0.08810199501937029,0.004359,0.04913,64
17,6,0.09349498118868178,0.0018080708326699956,0.0898042720563063,0.09423312301515689,0.0898042720563063,0.000257,0.01155,128
5,6,0.09377868984664549,0.0025511581242179666,0.08857116013207059,0.09482019578956047,0.08857116013207059,0.0005652,0.02017,256
28,6,0.09430892813203133,0.0023854217221267386,0.0894397064315633,0.09528277247212494,0.0894397064315633,0.0002549,0.14308,256
